statedisdec,demsharenext,demshareprev,use,demwinprev,difdemshare,difdemshare2,difdemshare3,difdemshare4,demofficeexp,demelectexp,othofficeexp,othelectexp,right,rdifdemshare,rdifdemshare2,rdifdemshare3,rdifdemshare4,difdemsharenext
1011,.5468635,,,,-.061488152,.0037807927,-.00023247396,.000014294394,0,0,.91666669,1,0,0,0,0,0,
1011,.580962,.46925592,1,0,.10486948,.010997609,.0011533136,.0001209474,0,0,1,1,1,.10486948,.010997609,.0011533136,.0001209474,.11170608
1011,,.5468635,,1,.16446409,.027048435,.0044484963,.00073161785,1,1,0,0,1,.16446409,.027048435,.0044484963,.00073161785,
1012,.56962603,,,,.079360813,.0062981388,.0004998254,.000039666549,0,0,3.0833333,3.4166667,1,.079360813,.0062981388,.0004998254,.000039666549,
1012,.46105853,.53968042,1,1,.1392521,.019391146,.0027002578,.00037601657,1,1,0,0,1,.1392521,.019391146,.0027002578,.00037601657,-.078621894
1012,.54341078,.56962603,1,1,-.073601931,.0054172445,-.00039871965,.000029346536,0,0,0,0,0,0,0,0,0,-.026215255
1012,.58458012,.46105853,1,0,.086821526,.0075379773,.00065445871,.000056821103,0,0,1,1,1,.086821526,.0075379773,.00065445871,.000056821103,.1235216
1012,,.54341078,,1,.16916025,.02861519,.0048405523,.00081882905,1,1,0,0,1,.16916025,.02861519,.0048405523,.00081882905,
1013,.69967914,,,,.15559244,.024209008,.0037667386,.00058607606,2,2,.45833334,.75,1,.15559244,.024209008,.0037667386,.00058607606,
1013,.58028644,.57484162,1,1,.39935827,.15948702,.063692465,.025436113,3,3,0,1,1,.39935827,.15948702,.063692465,.025436113,.0054448247
1013,.6243524,.69967914,1,1,.16807723,.028249955,.0047481745,.00079805998,4,4,0,0,1,.16807723,.028249955,.0047481745,.00079805998,-.075326741
1013,.487293,.58028644,1,1,.25156257,.063283727,.015919816,.0040048296,5,5,0,0,1,.25156257,.063283727,.015919816,.0040048296,-.092993438
1013,,.6243524,,1,.0064237714,.000041264841,2.6507590e-07,1.7027869e-09,0,0,0,0,1,.0064237714,.000041264841,2.6507590e-07,1.7027869e-09,
1014,.62668604,,,,.1502741,.022582304,.0033935355,.00050996046,1,1,.70833331,.75,1,.1502741,.022582304,.0033935355,.00050996046,
1014,.57096452,.56908917,1,1,.26750273,.071557708,.019141883,.0051205056,2,2,0,0,1,.26750273,.071557708,.019141883,.0051205056,.0018753409
1014,.59550136,.62668604,1,1,.15275466,.023333987,.0035643755,.00054447498,3,3,0,0,1,.15275466,.023333987,.0035643755,.00054447498,-.031184673
1014,.6304118,.57096452,1,1,.20239127,.040962227,.008290397,.0016779038,4,4,0,0,1,.20239127,.040962227,.008290397,.0016779038,.059447289
1014,,.59550136,,1,.26082361,.068028957,.017743558,.0046279384,5,5,0,0,1,.26082361,.068028957,.017743558,.0046279384,
1015,.61725754,,,,.36926013,.13635305,.050349742,.018592153,0,0,1.25,1.4166666,1,.36926013,.13635305,.050349742,.018592153,
1015,.74188519,.68130678,1,1,.2378197,.05655821,.013450657,.0031988311,1,1,0,1,1,.2378197,.05655821,.013450657,.0031988311,.060578406
1015,.77244276,.61725754,1,1,.48799968,.23814368,.11621404,.056712415,2,2,0,2,1,.48799968,.23814368,.11621404,.056712415,.15518522
1015,.71402943,.74188519,1,1,.54488552,.29690021,.16177663,.088149741,3,3,0,0,1,.54488552,.29690021,.16177663,.088149741,-.027855754
1015,,.77244276,,1,.42805886,.18323439,.078435108,.033574842,4,4,0,0,1,.42805886,.18323439,.078435108,.033574842,
1016,.73389024,,,,.36517063,.13334958,.048695352,.017782113,5,5,2.1111112,2.2777777,1,.36517063,.13334958,.048695352,.017782113,
1016,.73545104,.6712234,1,1,.48580521,.23600671,.11465329,.055699166,6,6,0,0,1,.48580521,.23600671,.11465329,.055699166,.064227641
1016,.5805223,.73389024,1,1,.48599952,.23619553,.11479092,.055788331,7,7,0,0,1,.48599952,.23619553,.11479092,.055788331,-.15336794
