Variable,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,order
demsharenextm,0.69788098,0.34652203,0.62865204,0.37153554,0.54184908,0.44623551,0.53076231,0.45417708,2
demsharenextse,0.002901616,0.002859852,0.002879297,0.00256551,0.006470202,0.006317484,0.008162977,0.007981529,3
demsharenextsd,0.17929077,0.14969897,0.14528327,0.12447352,0.11610362,0.10721126,,,4
demwinnextm,0.90888,0.094412766,0.87758309,0.10040185,0.68111879,0.20211039,0.61145383,0.25330546,5
demwinnextse,0.004472982,0.005442444,0.006250612,0.006049899,0.025513772,0.02332117,0.038749319,0.035263699,6
demwinnextsd,0.27638543,0.28488478,0.31539279,0.29352921,0.45782828,0.39577338,,,7
demshareprevm,0.68063056,0.36757335,0.60674614,0.39144996,0.5010094,0.47419521,0.4769015,0.48136955,8
demshareprevse,0.003051497,0.002930324,0.003016311,0.002656077,0.007193008,0.007827671,0.008977351,0.009920983,9
demshareprevsd,0.18855192,0.15338783,0.15219675,0.12886763,0.12907392,0.13283999,,,10
demwinprevm,0.88911831,0.10947265,0.8418594,0.11778586,0.501432,0.36487344,0.41899863,0.41588032,11
demwinprevse,0.005010421,0.005855221,0.007139775,0.006536471,0.027451888,0.027974557,0.038196027,0.039399158,12
demwinprevsd,0.30959374,0.30649161,0.3602581,0.31713676,0.49260652,0.47474396,,,13
demofficeexpm,3.8118777,0.26127702,3.5499637,0.30412021,1.6584212,0.98566598,1.2187911,1.1832538,14
demofficeexpse,0.060955696,0.024693288,0.07424631,0.028646773,0.16548209,0.12438192,0.2285336,0.14469148,15
demofficeexpsd,3.7664504,1.2925704,3.7463131,1.3898852,2.96947,2.1108313,,,16
othofficeexpm,0.24475202,2.8761661,0.35023785,2.8082817,1.1828688,1.3445513,1.4239366,1.2926753,17
othofficeexpse,0.017538931,0.053526092,0.025007542,0.057201009,0.11823659,0.11482255,0.13081026,0.16968648,18
othofficeexpsd,1.08373,2.8018239,1.2618282,2.7752807,2.1216798,1.9486033,,,19
demelectexpm,3.9445627,0.46421808,3.7265339,0.5267449,1.9490273,1.275463,1.4850357,1.4701047,20
demelectexpse,0.061290406,0.027835457,0.074775673,0.031944346,0.16640078,0.13106078,0.23023471,0.15056609,21
demelectexpsd,3.787132,1.4570472,3.7730238,1.5498769,2.9859552,2.2241752,,,22
othelectexpm,0.39963257,3.0066061,0.5277648,2.9431183,1.3745677,1.5285791,1.6243552,1.5023847,23
othelectexpse,0.019235466,0.054218967,0.02689408,0.057818312,0.12018606,0.11916867,0.13245127,0.17380559,24
othelectexpsd,1.1885588,2.8380923,1.3570188,2.8052311,2.1566617,2.0223594,,,25
obs,3818,2740,2546,2354,322,288,3818,2740,26
