shortnam,avelf,lat_abst,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,edes1975,avexpr,logpgp95,landlock,goldm,iron,silv,zinc,oilres,logem4,baseco
AFG,.44844118,.36666667,10,14,40,-21,11,51,80,22,70,1,1,0,0,0,0,0,,,1,0,0,0,0,0,4.5400982,
AGO,.77275497,.13666667,26,28,37,14,21,77,84,74,78,1,1,0,0,0,0,0,5.3636365,7.7706451,0,0,0,0,0,146000,5.6347895,1
ARE,,.26666668,,,,,,,,,,,,,,,,0,7.181818,9.8042192,0,,,,,,,
ARG,.17693181,.37777779,17,25,40,-6,6,81,92,60,79,1,0,0,1,0,0,90,6.3863635,9.1334591,0,0,0,0,0,46900,4.232656,1
ARM,,.44444445,8,12,40,-27,10,62,91,36,75,0,0,1,0,0,0,0,,7.6824822,0,0,0,0,0,0,,
AUS,.11279711,.30000001,17,18,43,-10,3,56,85,35,64,1,1,0,0,0,0,99,9.318182,9.8979721,0,3,16,9,12,99100,2.1459312,1
AUT,.033212252,.52444446,8,13,38,-23,9,72,86,49,76,0,0,0,0,0,0,100,9.727273,9.9748774,1,0,0,0,0,11900,,
AZE,,.44777778,14,12,40,-27,10,62,91,36,75,0,0,1,0,0,0,0,,7.3065314,1,0,0,0,0,177000,,
BDI,.013333334,.036666665,24,28,31,17,20,55,82,55,82,0,0,0,0,0,0,0,,6.5652652,0,0,0,0,0,0,5.6347895,
BEL,.36383441,.56111109,10,13,37,-17,6,87,94,65,86,0,0,0,0,0,0,100,9.681818,9.9928713,0,0,0,0,0,0,,
BEN,.68311918,.10333334,27,31,35,18,22,83,91,68,78,1,0,0,0,0,0,0,,7.0900769,0,0,0,0,0,3930,5.5854492,
BFA,.54671812,.14444445,29,38,48,9,19,38,81,19,67,1,0,0,0,0,0,0,4.4545455,6.84588,1,0,0,0,0,0,5.6347895,1
BGD,0,.26666668,25,29,42,7,24,37,74,37,74,0,0,0,0,0,0,0,5.1363635,6.877296,0,0,0,0,0,0,4.2684379,1
BGR,.11574074,.47777778,9,16,37,-21,8,71,90,46,78,0,0,0,0,0,0,100,8.909091,8.4574432,0,0,0,0,0,34,,
BHR,,.2888889,25,29,45,5,24,69,85,63,77,0,1,0,0,0,0,0,8,9.6859531,0,0,0,0,0,131000,,
BHS,0,.26833332,25,29,34,5,19,79,84,62,73,0,0,0,0,0,0,10,7.5,9.2854481,0,0,0,0,0,0,4.4426513,1
BIH,,.48888889,10,20,41,-22,7,70,93,40,77,0,0,0,0,0,0,100,,,0,0,0,0,0,0,,
BLR,,.58888888,4,2,32,-32,5,58,87,43,83,0,0,0,0,0,0,100,,8.340456,1,0,0,0,0,0,,
BLZ,.40909091,.19055556,26,32,36,9,18,90,94,86,91,0,0,0,0,0,0,20,,8.3779316,0,0,0,0,0,0,5.0955892,
BOL,.59941179,.18888889,12,21,27,-3,2,77,93,49,74,0,0,0,0,0,0,30.000002,5.6363635,7.9266024,1,0,0,0,0,14300,4.2626801,1
BRA,.055780932,.11111111,25,32,39,10,18,82,87,68,74,1,0,0,0,0,0,55,7.909091,8.7274542,0,2,.1,0,1,19400,4.2626801,1
BRB,.07333333,.14555556,26,31,33,16,21,67,79,64,78,0,0,0,0,0,0,20,,9.2667208,0,0,0,0,0,21000,4.4426513,
BTN,.4375,.30333331,17,24,36,-2,18,68,90,53,84,0,0,0,0,0,0,0,,,1,0,0,0,0,0,,
BWA,.3775,.24444444,20,31,42,-4,10,55,74,55,74,1,0,0,0,0,0,0,7.7272725,8.855093,1,0,0,0,0,0,,
CAF,.78555554,.077777781,27,34,38,14,18,90,96,49,72,0,0,0,0,0,0,0,,7.192934,1,0,0,0,0,0,5.6347895,
CAN,.37618759,.66666669,4,12,39,-37,3,76,90,40,76,0,0,1,0,0,0,98,9.727273,9.9864492,0,4,7,13,15,185000,2.7788193,1
CHE,.30759802,.52222222,9,15,38,-23,7,80,92,51,76,0,0,0,0,0,0,100,10,10.120211,1,0,0,0,0,0,,
CHL,.050625,.33333334,17,27,37,-4,6,70,93,38,64,1,1,0,0,0,0,50,7.818182,9.336092,0,0,0,0,0,21700,4.232656,1
CHN,.23332645,.3888889,11,13,43,-23,15,46,74,46,74,0,0,1,1,0,0,0,7.7727275,7.8860812,0,0,5,0,3,19800,4.7706847,
CIV,.85652989,.088888891,26,31,36,15,20,93,96,71,82,0,0,0,0,0,0,0,7,7.4442487,0,0,0,0,0,7460,6.5042882,1
CMR,.85204548,.06666667,25,31,36,14,17,97,98,62,75,0,0,0,0,0,0,0,6.4545455,7.5010819,0,0,0,0,0,31900,5.6347895,1
COG,.66927534,.011111111,25,32,37,12,19,77,89,54,71,0,0,0,0,0,0,0,4.681818,7.420579,0,0,0,0,0,338000,5.480639,1
COL,.05579602,.044444446,14,22,24,4,7,82,88,51,64,0,0,0,0,0,0,25,7.318182,8.8098631,0,0,0,0,0,57,4.2626801,1
COM,1,.13444445,26,30,33,19,22,74,79,74,78,0,0,0,0,0,0,5,,7.3839893,0,0,0,0,0,0,,
CPV,.375,.17777778,25,30,34,13,22,58,74,54,73,0,0,0,0,0,0,5,,7.9793391,0,0,0,0,0,0,,
CRI,.053214286,.11111111,21,29,33,9,14,80,92,55,78,0,0,0,0,0,0,20,7.0454545,8.7948246,0,0,0,0,0,0,4.3579903,1
CZE,,.54944444,5,13,38,-28,6,74,87,45,78,0,0,0,0,0,0,100,8.863636,9.2043219,1,0,0,0,0,0,,
DEU,.0437553,.56666666,8,14,38,-24,8,78,91,50,81,0,0,0,0,0,0,100,,9.9354706,0,0,0,0,0,5580,,
DJI,.71428573,.12555556,32,34,47,17,23,57,84,43,74,1,0,0,0,0,0,,,,0,0,0,0,0,0,3.2580965,
DNK,.0275,.62222224,8,10,33,-24,8,70,89,59,87,0,0,0,0,0,0,100,9.727273,10.005592,0,0,0,0,0,141000,,
DOM,.010830564,.21111111,26,33,37,15,20,88,92,58,66,0,0,0,0,0,0,25,6.181818,8.3640423,0,0,0,0,0,0,4.8675346,1
DZA,.29372403,.31111112,21,24,42,0,1,67,75,57,66,0,1,0,0,0,0,0,6.5,8.3893595,0,0,0,0,0,339000,4.3592696,1
ECU,.32535714,.022222223,15,26,30,0,4,80,94,40,60,0,0,1,0,0,0,30.000002,6.5454545,8.4701014,0,0,0,0,0,141,4.2626801,1
EGY,.023061818,.30000001,24,31,47,1,17,50,70,18,41,0,1,0,0,0,0,0,6.7727275,7.9515595,0,0,0,0,0,111000,4.2165623,1
ERI,,.16666667,31,33,44,17,23,56,83,44,74,0,0,0,0,0,0,0,,6.6200733,0,0,0,0,0,0,,
ESP,.27451614,.44444445,15,16,39,-10,8,58,86,33,71,0,0,0,0,0,0,100,9.681818,9.6184683,0,0,0,0,3,575,,
EST,,.65555555,5,7,33,-33,5,70,91,58,89,0,0,0,0,0,0,100,,8.3938951,0,0,0,0,0,,,
ETH,.67708248,.088888891,17,27,34,0,7,56,86,33,73,0,0,0,0,0,0,0,5.7272725,6.1092477,0,0,0,0,0,0,3.2580965,1
FIN,.105,.71111113,5,7,33,-33,5,70,91,58,89,0,0,0,0,0,0,100,9.727273,9.826066,0,0,0,0,0,0,,
FJI,.80000001,.2,25,32,37,13,19,76,82,73,79,0,0,0,0,0,0,,,8.3015213,0,0,0,0,0,0,2.4336133,
